# Coverage report (regenerated)

Spec: App Store Connect API 4.3 (title: App Store Connect API)
Total operations in spec:   1208
Tools emitted:              1208
Deprecated (still emitted): 153
Skipped:                    0
Tags:                       191

| # | Tag | Tools | File |
| 88 | AndroidToIosAppMappingDetails | 4 | `android-to-ios-app-mapping-details.ts` |
| 89 | AppAvailabilities | 4 | `app-availabilities.ts` |
| 90 | AppClipHeaderImages | 4 | `app-clip-header-images.ts` |
| 91 | AppEventScreenshots | 4 | `app-event-screenshots.ts` |
| 92 | AppEventVideoClips | 4 | `app-event-video-clips.ts` |
| 93 | AppInfoLocalizations | 4 | `app-info-localizations.ts` |
| 94 | AppPreviews | 4 | `app-previews.ts` |
| 95 | AppScreenshots | 4 | `app-screenshots.ts` |
| 96 | AppStoreReviewAttachments | 4 | `app-store-review-attachments.ts` |
| 97 | BackgroundAssetVersions | 4 | `background-asset-versions.ts` |
| 98 | BetaAppClipInvocations | 4 | `beta-app-clip-invocations.ts` |
| 99 | BetaFeedbackCrashSubmissions | 4 | `beta-feedback-crash-submissions.ts` |
| 100 | CiMacOsVersions | 4 | `ci-mac-os-versions.ts` |
| 101 | CiXcodeVersions | 4 | `ci-xcode-versions.ts` |
| 102 | Devices | 4 | `devices.ts` |
| 103 | GameCenterAchievementVersions | 4 | `game-center-achievement-versions.ts` |
| 104 | GameCenterActivityImages | 4 | `game-center-activity-images.ts` |
| 105 | GameCenterChallengeImages | 4 | `game-center-challenge-images.ts` |
| 106 | GameCenterLeaderboardSetVersions | 4 | `game-center-leaderboard-set-versions.ts` |
| 107 | GameCenterLeaderboardVersions | 4 | `game-center-leaderboard-versions.ts` |
| 108 | InAppPurchaseAppStoreReviewScreenshots | 4 | `in-app-purchase-app-store-review-screenshots.ts` |
| 109 | InAppPurchaseAvailabilities | 4 | `in-app-purchase-availabilities.ts` |
| 110 | InAppPurchaseImages | 4 | `in-app-purchase-images.ts` |
| 111 | InAppPurchaseLocalizations | 4 | `in-app-purchase-localizations.ts` |
| 112 | InAppPurchaseOfferCodeOneTimeUseCodes | 4 | `in-app-purchase-offer-code-one-time-use-codes.ts` |
| 113 | MarketplaceWebhooks | 4 | `marketplace-webhooks.ts` |
| 114 | PromotedPurchases | 4 | `promoted-purchases.ts` |
| 115 | RoutingAppCoverages | 4 | `routing-app-coverages.ts` |
| 116 | ScmProviders | 4 | `scm-providers.ts` |
| 117 | SubscriptionAppStoreReviewScreenshots | 4 | `subscription-app-store-review-screenshots.ts` |
| 118 | SubscriptionAvailabilities | 4 | `subscription-availabilities.ts` |
| 119 | SubscriptionGroupLocalizations | 4 | `subscription-group-localizations.ts` |
| 120 | SubscriptionImages | 4 | `subscription-images.ts` |
| 121 | SubscriptionLocalizations | 4 | `subscription-localizations.ts` |
| 122 | SubscriptionOfferCodeOneTimeUseCodes | 4 | `subscription-offer-code-one-time-use-codes.ts` |
| 123 | AnalyticsReportInstances | 3 | `analytics-report-instances.ts` |
| 124 | AnalyticsReports | 3 | `analytics-reports.ts` |
| 125 | AppClipAdvancedExperienceImages | 3 | `app-clip-advanced-experience-images.ts` |
| 126 | AppClipAdvancedExperiences | 3 | `app-clip-advanced-experiences.ts` |
| 127 | AppClipAppStoreReviewDetails | 3 | `app-clip-app-store-review-details.ts` |
| 128 | AppEncryptionDeclarationDocuments | 3 | `app-encryption-declaration-documents.ts` |
| 129 | AppPricePoints | 3 | `app-price-points.ts` |
| 130 | AppStoreVersionPhasedReleases | 3 | `app-store-version-phased-releases.ts` |
| 131 | AppTags | 3 | `app-tags.ts` |
| 132 | BackgroundAssetUploadFiles | 3 | `background-asset-upload-files.ts` |
| 133 | BetaAppClipInvocationLocalizations | 3 | `beta-app-clip-invocation-localizations.ts` |
| 134 | BetaRecruitmentCriteria | 3 | `beta-recruitment-criteria.ts` |
| 135 | BuildUploadFiles | 3 | `build-upload-files.ts` |
| 136 | BundleIdCapabilities | 3 | `bundle-id-capabilities.ts` |
| 137 | CustomerReviewResponses | 3 | `customer-review-responses.ts` |
| 138 | CustomerReviews | 3 | `customer-reviews.ts` |
| 139 | GameCenterAchievementReleases | 3 | `game-center-achievement-releases.ts` |
| 140 | GameCenterActivityVersionReleases | 3 | `game-center-activity-version-releases.ts` |
| 141 | GameCenterChallengeVersionReleases | 3 | `game-center-challenge-version-releases.ts` |
| 142 | GameCenterLeaderboardReleases | 3 | `game-center-leaderboard-releases.ts` |
| 143 | GameCenterLeaderboardSetReleases | 3 | `game-center-leaderboard-set-releases.ts` |
| 144 | GameCenterMatchmakingTeams | 3 | `game-center-matchmaking-teams.ts` |
| 145 | InAppPurchaseOfferCodeCustomCodes | 3 | `in-app-purchase-offer-code-custom-codes.ts` |
| 146 | MarketplaceSearchDetails | 3 | `marketplace-search-details.ts` |
| 147 | ReviewSubmissionItems | 3 | `review-submission-items.ts` |
| 148 | SubscriptionIntroductoryOffers | 3 | `subscription-introductory-offers.ts` |
| 149 | SubscriptionOfferCodeCustomCodes | 3 | `subscription-offer-code-custom-codes.ts` |
| 150 | SubscriptionPricePoints | 3 | `subscription-price-points.ts` |
| 151 | Actors | 2 | `actors.ts` |
| 152 | BetaFeedbackScreenshotSubmissions | 2 | `beta-feedback-screenshot-submissions.ts` |
| 153 | SandboxTesters | 2 | `sandbox-testers.ts` |
| 154 | SubscriptionGracePeriods | 2 | `subscription-grace-periods.ts` |
| 155 | SubscriptionPrices | 2 | `subscription-prices.ts` |
| 156 | InAppPurchasePricePoints | 2 | `in-app-purchase-price-points.ts` |
| 157 | AgeRatingDeclarations | 1 | `age-rating-declarations.ts` |
| 158 | AlternativeDistributionPackageDeltas | 1 | `alternative-distribution-package-deltas.ts` |
| 159 | AlternativeDistributionPackageVariants | 1 | `alternative-distribution-package-variants.ts` |
| 160 | AnalyticsReportSegments | 1 | `analytics-report-segments.ts` |
| 161 | AppStoreVersionPromotions | 1 | `app-store-version-promotions.ts` |
| 162 | AppStoreVersionReleaseRequests | 1 | `app-store-version-release-requests.ts` |
| 163 | AppStoreVersionSubmissions | 1 | `app-store-version-submissions.ts` |
| 164 | BackgroundAssetVersionAppStoreReleases | 1 | `background-asset-version-app-store-releases.ts` |
| 165 | BackgroundAssetVersionExternalBetaReleases | 1 | `background-asset-version-external-beta-releases.ts` |
| 166 | BackgroundAssetVersionInternalBetaReleases | 1 | `background-asset-version-internal-beta-releases.ts` |
| 167 | BetaCrashLogs | 1 | `beta-crash-logs.ts` |
| 168 | BetaRecruitmentCriterionOptions | 1 | `beta-recruitment-criterion-options.ts` |
| 169 | BetaTesterInvitations | 1 | `beta-tester-invitations.ts` |
| 170 | BuildBetaNotifications | 1 | `build-beta-notifications.ts` |
| 171 | CiArtifacts | 1 | `ci-artifacts.ts` |
| 172 | CiIssues | 1 | `ci-issues.ts` |
| 173 | CiTestResults | 1 | `ci-test-results.ts` |
| 174 | EndAppAvailabilityPreOrders | 1 | `end-app-availability-pre-orders.ts` |
| 175 | FinanceReports | 1 | `finance-reports.ts` |
| 176 | GameCenterLeaderboardEntrySubmissions | 1 | `game-center-leaderboard-entry-submissions.ts` |
| 177 | GameCenterMatchmakingRuleSetTests | 1 | `game-center-matchmaking-rule-set-tests.ts` |
| 178 | GameCenterPlayerAchievementSubmissions | 1 | `game-center-player-achievement-submissions.ts` |
| 179 | InAppPurchaseContents | 1 | `in-app-purchase-contents.ts` |
